Current Temp,Target Temp,CPU Freq,Automatic,Fan State 
55.991,61.0/63.0,1.5,True,False
61.835,61.0/63.0,1.5,True,False
62.322,61.0/63.0,1.5,True,True
60.861,61.0/63.0,1.5,True,False
64.757,61.0/63.0,1.5,True,True
61.348,61.0/63.0,1.5,True,True
64.757,61.0/63.0,1.5,True,True
62.322,61.0/63.0,1.5,True,True
62.809,61.0/63.0,1.5,True,False
60.374,61.0/63.0,1.5,True,False
62.322,61.0/63.0,1.5,True,True
61.348,61.0/63.0,1.5,True,True
63.296,61.0/63.0,1.5,True,True
62.322,61.0/63.0,1.5,True,True
62.809,61.0/63.0,1.5,True,False
64.27,61.0/63.0,1.5,True,True
62.322,61.0/63.0,1.5,True,True
61.835,61.0/63.0,1.5,True,True
59.4,61.0/63.0,1.5,True,False
62.809,61.0/63.0,1.5,True,False
62.322,61.0/63.0,1.5,True,False
62.322,61.0/63.0,1.5,True,False
62.322,61.0/63.0,1.5,True,False
62.809,61.0/63.0,1.5,True,False
62.322,61.0/63.0,1.5,True,True
62.322,61.0/63.0,1.5,True,False
63.296,61.0/63.0,1.5,True,True
64.27,61.0/63.0,1.5,True,True
62.809,61.0/63.0,1.5,True,False
59.4,61.0/63.0,1.5,True,False
60.861,61.0/63.0,1.5,True,False
62.322,61.0/63.0,1.5,True,False
62.809,61.0/63.0,1.5,True,False
58.426,61.0/63.0,1.5,True,False
57.939,61.0/63.0,0.6,True,False
59.4,61.0/63.0,0.6,True,False
59.4,61.0/63.0,0.6,True,False
60.374,61.0/63.0,0.6,True,False
59.887,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
61.348,61.0/63.0,1.5,True,False
60.861,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
61.348,61.0/63.0,0.6,True,False
60.374,61.0/63.0,0.6,True,False
61.348,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
61.835,61.0/63.0,0.6,True,False
64.27,61.0/63.0,1.5,True,True
60.374,61.0/63.0,0.6,True,False
60.374,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
62.322,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
61.348,61.0/63.0,1.5,True,False
59.887,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
61.348,61.0/63.0,0.6,True,False
61.348,61.0/63.0,0.6,True,False
61.835,61.0/63.0,0.6,True,False
60.861,61.0/63.0,0.6,True,False
61.835,61.0/63.0,0.6,True,False
61.835,61.0/63.0,0.6,True,False
63.296,61.0/63.0,1.5,True,True
61.835,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,False
61.835,61.0/63.0,1.5,True,False
62.809,61.0/63.0,1.5,True,False
59.887,61.0/63.0,1.5,True,False
59.4,61.0/63.0,1.5,True,False
60.374,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,True
61.348,61.0/63.0,1.5,True,True
60.861,61.0/63.0,1.5,True,False
60.374,61.0/63.0,1.5,True,False
59.887,61.0/63.0,1.5,True,False
60.374,61.0/63.0,1.5,True,False
60.861,61.0/63.0,1.5,True,False
60.861,61.0/63.0,1.5,True,False
59.887,61.0/63.0,1.5,True,False
59.887,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,False
60.861,61.0/63.0,1.5,True,False
62.322,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,False
60.374,61.0/63.0,1.5,True,False
63.296,61.0/63.0,1.5,True,True
60.861,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,True
63.296,61.0/63.0,1.5,True,True
63.296,61.0/63.0,1.5,True,True
60.861,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,False
62.809,61.0/63.0,1.5,True,False
61.348,61.0/63.0,1.5,True,False
63.783,61.0/63.0,1.5,True,True
59.4,61.0/63.0,1.5,True,False
59.887,61.0/63.0,1.5,True,False
60.374,61.0/63.0,0.6,True,False
60.374,61.0/63.0,1.5,True,False
